stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0762_A,,3号通,,42.3711648,141.0120969,,,,,,
0762_B,,3号通,,42.371141,141.012231,,,,,,
0763_A,,八丁平4丁目,,42.373518,141.0139685,,,,,,
0763_B,,八丁平4丁目,,42.3734467,141.014049,,,,,,
0764_A,,大谷高校前,,42.3762177,141.01413,,,,,,
0764_B,,大谷高校前,,42.3760473,141.0143124,,,,,,
0765_A,,室蘭養護学校前,,42.3799257,141.0132101,,,,,,
0771_A,,中島新町,,42.3492246,141.0151972,,,,,,
0771_B,,中島新町,,42.349428,141.0148512,,,,,,
0781_A,,中島入口1,,42.3504854,141.0104396,,,,,,
0781_B,,中島入口2,,42.3498043,141.0107762,,,,,,
0781_C,,中島入口3,,42.3503846,141.0083514,,,,,,
0791_A,,日鉄住金セメント前,,42.3531165,141.0013275,,,,,,
0791_B,,日鉄住金セメント前,,42.3530574,141.0026579,,,,,,
0792_A,,南高平,,42.3540608,140.993053,,,,,,
0792_B,,南高平,,42.354547,140.9914425,,,,,,
0811_A,,港北町入口,,42.3605903,140.9863835,,,,,,
0811_B,,港北町入口,,42.3598552,140.9872685,,,,,,
0811_C,,港北町入口,,42.360864,140.9875903,,,,,,
0821_A,,港北町3丁目,,42.362291,140.9906239,,,,,,
0821_B,,港北町3丁目,,42.3621543,140.9899936,,,,,,
0822_A,,蘭北小学校前,,42.3639444,140.9930297,,,,,,
0822_B,,蘭北小学校前,,42.3643139,140.9932797,,,,,,
0823_A,,港北町4丁目,,42.3662455,140.9958058,,,,,,
0823_B,,港北町4丁目,,42.3667985,140.9963311,,,,,,
0824_A,,港北町中央,,42.3683885,140.9992434,,,,,,
0824_B,,港北町中央,,42.368806,140.9996894,,,,,,
0826_A,,港北町5丁目,,42.3707386,141.0013008,,,,,,
0826_B,,港北町5丁目,,42.3712573,141.0020466,,,,,,
0828_A,,八丁平西,,42.3668891,141.0053736,,,,,,
0828_B,,八丁平西,,42.3671016,141.0055654,,,,,,
0831_A,,港北町1丁目,,42.3621359,140.9848244,,,,,,
0831_B,,港北町1丁目,,42.361834,140.9853692,,,,,,
0841_A,,見晴通,,42.3643057,140.9895257,,,,,,
0841_B,,見晴通,,42.3640188,140.9892005,,,,,,
0842_A,,鶯団地入口,,42.3660582,140.9919754,,,,,,
0842_B,,鶯団地入口,,42.3659958,140.9921038,,,,,,
0843_A,,中学校入口,,42.3721799,140.9937501,,,,,,
0843_B,,中学校入口,,42.3720238,140.9937928,,,,,,
0844_A,,蘭北団地,,42.3745316,140.9946577,,,,,,
0844_B,,蘭北団地,,42.374574,140.9948126,,,,,,
0845_A,,柏木町,,42.3774895,140.9975482,,,,,,
0845_B,,柏木町,,42.3770876,140.9975548,,,,,,
0846_A,,柏木,,42.3797927,140.9980305,,,,,,
